Nome|Idade|Localização(Cidade, Estado)|Amigos(Lista)|ID|Email|DataDeNascimento|Hobbies|Coding|Jogos(Nome, Plataforma)|ano_nascimento
Carlos|30|['Belo Horizonte', 'MG']|['João', 'Marcos', 'Caio']|310b2a5720a74b73a8f18896d9e14634||||||1994
Pedro|26|['Belo Horizonte', 'MG']|['João', 'Aline']|04ac30a475eb498fb17afdd46ff1faaf||||||1998
BrunoBarbosa Souza|18|['Belo Horizonte', 'MG']||aa3ccfdd37d94411bc295a7d691b2ce0|bruno0@freemail.com|2006-01-01|['viagem', 'cinema', 'futebol']|['Swift', 'C#', 'Go', 'Kotlin', 'PHP']|[['Overwatch', 'PC'], ['GTA V', 'PlayStation 4'], ['The Witcher 3', 'Xbox One'], ['Minecraft', 'PC']]|2006
SofiaAraújo Carvalho Rodrigues|46|['Juiz de Fora', 'MG']||1105a9aefb1242d0adaa400b3a182efe|sofia6@example.com|1978-04-09|['viagem', 'pintura']|[]|[]|1978
PedroSilva|2024|['Belo Horizonte', 'MG']||26c3c7a8f8c34cbc9fdd776ad9f6ed82|pedrog@webmail.net|1984-04-26|['leitura']|['Python', 'C++', 'Ruby', 'C#', 'Swift']|[]|0
LarissaAlmeida Rodrigues|36|['Juiz de Fora', 'MG']||80f1094f6b4a4d04a52483991b910c1f|larissah1@randommail.com|1988-06-06|['fotografia']|['Python', 'C++', 'Java', 'Go']|[['The Witcher 3', 'Xbox One'], ['Among Us', 'Mobile']]|1988
PedroCarvalho Araújo|31|['Juiz de Fora', 'MG']||82e3e81957a94e1c9c4de79a94d3d6b6|pedrog@mailservice.com|1993-03-22|['futebol', 'fotografia', 'natação', 'leitura', 'cozinhar']|['Kotlin', 'Java', 'Swift', 'Ruby', 'Go']|[['Fortnite', 'PlayStation 4']]|1993
FernandaCorreia|29|['Juiz de Fora', 'MG']||1fe2907335f24441960ef3588074f98b|fernandac@example.com||[]|['Python', 'C#', 'PHP', 'JavaScript']|[['Minecraft', 'PC'], ['Overwatch', 'PC'], ['Valorant', 'PC'], ['Cyberpunk 2077', 'PC'], ['GTA V', 'PlayStation 4']]|1995
LarissaGomes Moraes|33|['Juiz de Fora', 'MG']||3923abfd30a44acc802eb536112b6d17|larissawvv@fastmail.com|1991-03-11|['ciclismo', 'natação', 'música', 'cinema', 'viagem']|[]|[['GTA V', 'PlayStation 4'], ['League of Legends', 'PC'], ['Apex Legends', 'PC'], ['Valorant', 'PC'], ['Cyberpunk 2077', 'PC']]|1991
PedroSouza Oliveira|20|['Juiz de Fora', 'MG']||79e629b280134a629cfa788833232844|pedrosq@fastmail.com|2003-11-12|['música', 'natação', 'ciclismo']|['Go', 'PHP']|[['Fortnite', 'PlayStation 4'], ['Overwatch', 'PC'], ['Among Us', 'Mobile'], ['Valorant', 'PC'], ['The Witcher 3', 'Xbox One']]|2004
RafaelRibeiro Moraes|22|['Juiz de Fora', 'MG']||f590b9d8c13b4745894cd45fda60845e|rafaelkk@mailservice.com|2002-01-24|[]|['Ruby', 'PHP', 'Python', 'Kotlin']|[['Fortnite', 'PlayStation 4']]|2002
PedroLima Dias|2024|['Juiz de Fora', 'MG']||cc62b881fb104e08b8ddcc2b1dc1ba3f|maria.santos@|2003-03-16|['pintura', 'fotografia', 'futebol', 'cinema', 'leitura']|['C#']|[['Overwatch', 'PC'], ['GTA V', 'PlayStation 4'], ['Among Us', 'Mobile']]|0
MarianaRibeiro|2024|['Juiz de Fora', 'MG']||8a962be1bb164af0a1064fa626526073|mariana5@randommail.com|2000-06-04|[]|['C++']|[['Overwatch', 'PC'], ['Minecraft', 'PC'], ['Cyberpunk 2077', 'PC'], ['GTA V', 'PlayStation 4'], ['Fortnite', 'PlayStation 4']]|0
AnaMartins Silva|34|['Juiz de Fora', 'MG']||365148c12c2e4516b8d5a8633cf71356|ana6wz@fastmail.com|1990-10-02|['futebol', 'música', 'fotografia', 'natação', 'leitura']|['Java', 'Python', 'Kotlin', 'JavaScript', 'PHP']|[['Fortnite', 'PlayStation 4'], ['The Witcher 3', 'Xbox One']]|1990
RafaelOliveira Araújo Dias|38|['Belo Horizonte', 'MG']||581ed33f036e4e32a074aacc2ac19170|rafaelbm1@webmail.net|1985-12-01|['cozinhar', 'ciclismo', 'cinema', 'fotografia', 'música']|['C#', 'Ruby']|[['Overwatch', 'PC'], ['GTA V', 'PlayStation 4'], ['Fortnite', 'PlayStation 4'], ['Minecraft', 'PC']]|1986
BeatrizCosta Lima Correia|20|['Juiz de Fora', 'MG']||15786625b48546cd84dea25995d44382|beatrizd@webmail.net|2004-03-24|['cinema', 'viagem', 'futebol', 'música', 'ciclismo']|['Go', 'Python']|[['GTA V', 'PlayStation 4'], ['Valorant', 'PC']]|2004
BeatrizCosta Fernandes Martins|26|['Juiz de Fora', 'MG']||275847b935cd4e3e8c7c5113314b3e3b|beatriz7u@inbox.org||['natação', 'fotografia', 'música', 'futebol']|['PHP']|[['Fortnite', 'PlayStation 4'], ['Overwatch', 'PC']]|1998
FernandaCosta Ribeiro|23|['Belo Horizonte', 'MG']||26782f2e88e74a968ed7b978197d6bef|fernanda1@mailservice.com|2001-07-23|[]|['Java', 'Python']|[['Overwatch', 'PC']]|2001
MarianaSouza Martins|45|['Belo Horizonte', 'MG']||b3e1b4cd77464140a2314bd08e8a8c88|mariana6@inbox.org|1978-11-21|['música', 'ciclismo']|['Python', 'Ruby', 'C#', 'Swift']|[['GTA V', 'PlayStation 4']]|1979
JoãoSilva Almeida Correia|28|['Juiz de Fora', 'MG']||991fbe137ec3428b86ca703c911fc699|joãoy@inbox.org|1996-03-25|['fotografia']|['Swift', 'Kotlin', 'C#', 'Java']|[['Apex Legends', 'PC']]|1996
CarlaRibeiro Moraes|33|['Juiz de Fora', 'MG']||1060e0e38ebb45ed8a488e1a8a254c71|carlam@inbox.org|1991-06-02|['fotografia', 'futebol', 'música']|['Python', 'Swift', 'JavaScript']|[['Among Us', 'Mobile'], ['League of Legends', 'PC']]|1991
MarianaCosta|31|['Belo Horizonte', 'MG']||c391db3f983c4af683c2c8cf3ffa3c35|marianasch@freemail.com|1993-01-05|['leitura']|[]|[['League of Legends', 'PC']]|1993
