Nome|Idade|Localização(Cidade, Estado)|Amigos(Lista)|ID|Email|DataDeNascimento|Hobbies|Coding|Jogos(Nome, Plataforma)|ano_nascimento
João|25|['Rio de Janeiro', 'RJ']|['Ana', 'Carlos']|48f0df7178bd4450a9ff7b80c97cc90d||||||1999
Mateus|32|['Rio de Janeiro', 'RJ']|['Caio', 'Fernando', 'João']|5d9348680401484b965ab3e8f978ec6c||||||1992
Camila|28|['Niterói', 'RJ']|['Juliana', 'Bruno', 'Lucas', 'Caio']|100aeea8724b49d0b5e41aa108b2193e||||||1996
Daniel|25|['Rio de Janeiro', 'RJ']|['Camila', 'Paulo', 'Amanda']|08dd8fcf7d374e0e86e8921ea7758337||||||1999
LarissaMoraes Barbosa|20|['Petropolis', 'RJ']||c036fc77cb79478dad66126beccdee8d|larissakx@webmail.net|2004-09-04|['leitura', 'fotografia', 'ciclismo']|['C#', 'C++', 'Ruby', 'JavaScript']|[['GTA V', 'PlayStation 4'], ['Cyberpunk 2077', 'PC'], ['Valorant', 'PC']]|2004
BeatrizSouza Carvalho Moraes|47|['Volta Redonda', 'RJ']||d35c2d48cf634834bb9070055952a0d4|beatriz13@fastmail.com|1977-03-20|[]|['JavaScript', 'Swift', 'Go', 'Java']|[['Apex Legends', 'PC']]|1977
LuísOliveira|38|['Rio de Janeiro', 'RJ']||4f68e63fc41840488b8a2a869edbdc2f|luís8@inbox.org|1986-07-21|['leitura']|['C++', 'Java', 'C#', 'Ruby']|[['The Witcher 3', 'Xbox One'], ['GTA V', 'PlayStation 4']]|1986
AnaBarbosa Araújo|41|['Rio de Janeiro', 'RJ']||7ca9ed19b7f7415483bff5816e0eaf94|anazq@randommail.com|1982-11-06|[]|['Python', 'Kotlin', 'Swift', 'C++', 'PHP']|[['Apex Legends', 'PC'], ['The Witcher 3', 'Xbox One'], ['Minecraft', 'PC']]|1983
JoãoAraújo Silva|44|['Volta Redonda', 'RJ']||e3cf6cf458ad487cb78d6439197f3b67|joãow@inbox.org|1980-04-11|['viagem', 'pintura', 'natação', 'futebol']|['Ruby', 'Swift', 'PHP', 'Python', 'Kotlin']|[['The Witcher 3', 'Xbox One'], ['Valorant', 'PC']]|1980
PedroRibeiro|48|['Rio de Janeiro', 'RJ']||b25c3e88f62942c0b7a31d6ac30840e8|pedroi@freemail.com|1976-04-19|['ciclismo']|['Go', 'JavaScript', 'PHP', 'Swift']|[]|1976
PedroAraújo Dias Gomes|40|['Petropolis', 'RJ']||9fd518f33fcd40fcb1935130b50ad82a|pedroh@example.com|1984-07-10|[]|['PHP', 'Ruby', 'Java', 'JavaScript']|[]|1984
AnaDias|20|['Volta Redonda', 'RJ']||33c16305e33e4cedb4c44a49184a53ed|anak2@fastmail.com|31/02/2000|['fotografia']|['C#']|[['GTA V', 'PlayStation 4'], ['Among Us', 'Mobile'], ['Apex Legends', 'PC'], ['Valorant', 'PC']]|2004
LuísBarbosa Rocha Gomes|21|['Petropolis', 'RJ']||bedaa13c3ae84a60a96bef01b4aba868|luísy7r@mailservice.com|2003-03-20|['futebol', 'fotografia', 'música', 'leitura']|['Ruby']|[['Fortnite', 'PlayStation 4'], ['Apex Legends', 'PC'], ['Overwatch', 'PC']]|2003
LarissaPereira Carvalho|30|['Petropolis', 'RJ']||2aca6f5a155c4d4b83448f455edfabd7|larissaq@example.com|1994-10-04|['pintura']|[]|[['Fortnite', 'PlayStation 4'], ['League of Legends', 'PC'], ['The Witcher 3', 'Xbox One']]|1994
JuliaCosta Carvalho Lima|44|['Volta Redonda', 'RJ']||3c63a716ac33413c977b62e1c8b605ba|juliar@mailservice.com|1980-04-23|[]|['JavaScript', 'Go', 'PHP', 'C++', 'Ruby']|[['Valorant', 'PC'], ['League of Legends', 'PC'], ['Apex Legends', 'PC']]|1980
MariaFernandes Correia Ribeiro|19|['Rio de Janeiro', 'RJ']||265435ea21134cbc92e570b1ebf11600|pedro.oliveiraexample.com|2005-03-28|['fotografia', 'ciclismo', 'natação']|['Ruby', 'PHP']|[['Minecraft', 'PC'], ['Valorant', 'PC'], ['Among Us', 'Mobile'], ['The Witcher 3', 'Xbox One'], ['Cyberpunk 2077', 'PC']]|2005
CarlaRodrigues|48|['Petropolis', 'RJ']||1ef7e977989f40febc07f575b2a6e3c3|carla3k@webmail.net|1976-06-09|['cozinhar']|['JavaScript', 'Swift', 'Java']|[['GTA V', 'PlayStation 4'], ['The Witcher 3', 'Xbox One'], ['Overwatch', 'PC'], ['Among Us', 'Mobile']]|1976
MatheusCorreia Carvalho|26|['Petropolis', 'RJ']||3ce7ae6141bf46bf8f9afb4147f93158|matheus6u@webmail.net|1998-10-21|['natação', 'cinema', 'cozinhar', 'ciclismo']|['Java', 'JavaScript', 'C#']|[['League of Legends', 'PC'], ['GTA V', 'PlayStation 4'], ['Apex Legends', 'PC'], ['The Witcher 3', 'Xbox One']]|1998
FernandaLima Costa|41|['Rio de Janeiro', 'RJ']||ec6efaf873ca43bcaac0e584a417f960|fernanda8zw@randommail.com|1983-06-14|['cinema', 'ciclismo', 'pintura']|['Ruby', 'C#', 'Python', 'C++', 'Kotlin']|[['Apex Legends', 'PC']]|1983
AnaMoraes Souza Rocha|48|['Rio de Janeiro', 'RJ']||362b89ef27514fc887bc6b4102b7e79c|anad@webmail.net|1976-08-19|['cinema', 'fotografia', 'natação', 'viagem', 'pintura']|['Swift', 'Kotlin']|[['GTA V', 'PlayStation 4'], ['Fortnite', 'PlayStation 4']]|1976
SofiaCorreia Barbosa Pereira|2024|['Rio de Janeiro', 'RJ']||081420d8d6cf43868f968a8b22822e00|sofiajb@fastmail.com|1981-03-06|['cinema', 'futebol', 'fotografia']|['Python']|[]|0
AnaRodrigues Gomes|40|['Petropolis', 'RJ']||95c605f20f5e4dbaa22192743c711ae0|anahi7@webmail.net|1984-08-23|['viagem', 'futebol', 'leitura', 'natação']|['Go', 'C#', 'Java', 'Swift']|[['Apex Legends', 'PC'], ['Overwatch', 'PC'], ['Valorant', 'PC']]|1984
FernandaRibeiro|34|['Volta Redonda', 'RJ']||568dc62075f94a9195e2abb41b51659f|fernanda9s5@example.com|1990-05-14|['cozinhar', 'viagem', 'pintura']|['Python', 'Swift']|[['Apex Legends', 'PC'], ['Valorant', 'PC']]|1990
MariaSilva|23|['Petropolis', 'RJ']||4da716eaf1a644188d644afa28d9ec58|mariaee5@inbox.org|2001-03-06|['pintura', 'ciclismo']|[]|[['Valorant', 'PC'], ['Among Us', 'Mobile'], ['Overwatch', 'PC']]|2001
JuliaRocha Almeida|44|['Rio de Janeiro', 'RJ']||c3ac86604688421fa05c08faf7d7de4b|juliakm8@webmail.net|1980-01-03|['ciclismo', 'música', 'futebol']|['C++', 'Kotlin', 'PHP', 'Swift', 'C#']|[['League of Legends', 'PC'], ['Overwatch', 'PC'], ['Apex Legends', 'PC'], ['Cyberpunk 2077', 'PC'], ['Among Us', 'Mobile']]|1980
CarlosRodrigues Pereira|36|['Rio de Janeiro', 'RJ']||313e245cb9b14b3f850d43a08b5d6b01|carlosea@webmail.net|1988-03-02|['música', 'viagem']|[]|[]|1988
MariaDias Lima Araújo|22|['Petropolis', 'RJ']||c017dbac0a974ceeaa7c13856bf7eb1f|mariasv@inbox.org|2002-09-28|['natação', 'futebol', 'ciclismo', 'viagem']|[]|[['Overwatch', 'PC'], ['Fortnite', 'PlayStation 4']]|2002
AnaCarvalho|29|['Petropolis', 'RJ']||1f9dda12657444be97482f5300183f92|anal7p@randommail.com|1995-01-25|['pintura', 'cinema', 'música', 'futebol', 'leitura']|['JavaScript', 'Swift', 'C#', 'Go']|[['Minecraft', 'PC']]|1995
LarissaOliveira Ribeiro Silva|30|['Petropolis', 'RJ']||203e83c644534f839dbd298fff2ca55a|larissawkq@fastmail.com|1993-12-04|['viagem']|['C++', 'Java', 'C#', 'JavaScript']|[['Among Us', 'Mobile']]|1994
MarianaRocha Barbosa|29|['Petropolis', 'RJ']||a2b21d7bd0524474907c07fb5b193345|mariana0@fastmail.com|1995-01-28|['leitura', 'viagem', 'cinema']|['Go', 'C++', 'Ruby']|[]|1995
